"ccode","state_name","year","cow_war_warnum","cow_war_wartype","cow_war_outcome","cow_wartype","cow_war_fatalities"
2,"United States of America",1861,572,"local issues",1,"local issues",618000
2,"United States of America",1862,572,"local issues",1,"local issues",618000
2,"United States of America",1863,572,"local issues",1,"local issues",618000
2,"United States of America",1864,572,"local issues",1,"local issues",618000
2,"United States of America",1865,572,"local issues",1,"local issues",618000
40,"Cuba",1912,658,"local issues",1,"local issues",1050
40,"Cuba",1958,745,"central control",2,"central control",3000
40,"Cuba",1959,745,"central control",2,"central control",3000
41,"Haiti",1869,592,"central control",2,"central control",-18
41,"Haiti",1883,611,"central control",1,"central control",8100
41,"Haiti",1884,611,"central control",1,"central control",8100
42,"Dominican Republic",1965,766,"central control",7,"central control",2491
70,"Mexico",1832,520,"central control",2,"central control",-18
70,"Mexico",1835,527,"local issues",2,"local issues",2200
70,"Mexico",1836,527,"local issues",2,"local issues",2200
70,"Mexico",1841,541,"central control",2,"central control",-18
70,"Mexico",1848,553,"local issues",1,"local issues",-18
70,"Mexico",1849,553,"local issues",1,"local issues",-18
70,"Mexico",1850,553,"local issues",1,"local issues",-18
70,"Mexico",1851,553,"local issues",1,"local issues",-18
70,"Mexico",1852,553,"local issues",1,"local issues",-18
70,"Mexico",1853,553,"local issues",1,"local issues",-18
70,"Mexico",1854,553,"local issues",1,"local issues",-18
70,"Mexico",1855,558,"central control",1,"central control",3600
70,"Mexico",1856,558,"central control",1,"central control",3600
70,"Mexico",1858,561,"central control",4,"central control",-18
70,"Mexico",1859,561,"central control",4,"central control",-18
70,"Mexico",1860,561,"central control",4,"central control",-18
70,"Mexico",1861,561,"central control",4,"central control",-18
70,"Mexico",1867,587,"central control",2,"central control",2500
70,"Mexico",1876,602,"central control",2,"central control",1891
70,"Mexico",1899,635,"local issues",1,"local issues",1600
70,"Mexico",1900,635,"local issues",1,"local issues",1600
70,"Mexico",1910,652,"central control",2,"central control",93750
70,"Mexico",1911,652,"central control",2,"central control",93750
70,"Mexico",1912,652,"central control",2,"central control",93750
70,"Mexico",1913,652,"central control",2,"central control",93750
70,"Mexico",1914,673,"central control",1,"central control",31250
70,"Mexico",1915,673,"central control",1,"central control",31250
70,"Mexico",1916,673,"central control",1,"central control",31250
70,"Mexico",1917,673,"central control",1,"central control",31250
70,"Mexico",1918,673,"central control",1,"central control",31250
70,"Mexico",1919,673,"central control",1,"central control",31250
70,"Mexico",1920,673,"central control",1,"central control",31250
70,"Mexico",1923,695,"central control",1,"central control",-18
70,"Mexico",1924,695,"central control",1,"central control",-18
70,"Mexico",1926,701,"central control",3,"central control",10000
70,"Mexico",1927,701,"central control",3,"central control",10000
70,"Mexico",1928,701,"central control",3,"central control",10000
70,"Mexico",1929,707,"central control",1,"central control",2000
90,"Guatemala",1966,770,"central control",1,"central control",1000
90,"Guatemala",1967,770,"central control",1,"central control",1000
90,"Guatemala",1968,770,"central control",1,"central control",1000
90,"Guatemala",1970,781,"central control",1,"central control",1000
90,"Guatemala",1971,781,"central control",1,"central control",1000
90,"Guatemala",1978,809,"central control",1,"central control",6000
90,"Guatemala",1979,809,"central control",1,"central control",6000
