"state","state_po","total_votes","biden_votes","trump_votes","biden_share","trump_share","biden_margin","winner","covid_deaths","pneumonia_deaths"
"District of Columbia","DC",344356,317323,18586,0.921496939214069,0.0539732137671479,0.867523725446921,"Biden",705,1169
"Vermont","VT",370968,242820,112704,0.654557805525005,0.303810571262211,0.350747234262794,"Biden",178,281
"Massachusetts","MA",3658005,2382202,1167202,0.651229837028654,0.31908157588631,0.332148261142344,"Biden",9346,11867
"Maryland","MD",3037030,1985023,976414,0.653606648600771,0.321502915677488,0.332103732923284,"Biden",7879,10473
"Hawaii","HI",579784,366130,196864,0.631493797690174,0.339547141694148,0.291946655996026,"Biden",573,2167
"California","CA",17500881,11110250,6006429,0.634839468938735,0.343207236252849,0.291632232685886,"Biden",46922,68269
"New York","NY",8661735,5230985,3244798,0.603918845358349,0.374612938400909,0.22930590695744,"Biden",19169,25738
"Rhode Island","RI",516990,307486,199922,0.594761987659336,0.386703804715759,0.208058182943577,"Biden",1483,1421
"Connecticut","CT",1823857,1080831,714717,0.592607315156835,0.391871182883307,0.200736132273528,"Biden",5388,6532
"Washington","WA",4087631,2369612,1584651,0.579703011353031,0.387669777433433,0.192033233919598,"Biden",6833,11287
"Delaware","DE",504346,296268,200603,0.587430057936417,0.397748767711055,0.189681290225361,"Biden",1189,1859
"Illinois","IL",6033743,3471915,2446891,0.575416453766758,0.405534508181737,0.169881945585021,"Biden",16771,21675
"Oregon","OR",2374321,1340383,958448,0.564533186540489,0.403672460463434,0.160860726077055,"Biden",4048,5397
"New Jersey","NJ",4549353,2608335,1883274,0.57334196752813,0.413965238573485,0.159376728954645,"Biden",16311,16880
"Colorado","CO",3279980,1804352,1364607,0.550110671406533,0.416041256349124,0.134069415057409,"Biden",6745,8336
"New Mexico","NM",923965,501614,401894,0.542892858495722,0.434966692461295,0.107926166034428,"Biden",3734,4652
"Virginia","VA",4460524,2413568,1962430,0.541095171778024,0.439955036672821,0.101140135105203,"Biden",10006,11638
"Maine","ME",828305,435072,360737,0.525255793457724,0.435512281104183,0.0897435123535412,"Biden",1277,2576
"New Hampshire","NH",806182,424921,365654,0.527078252801477,0.453562595046776,0.0735156577547005,"Biden",1105,1788
"Minnesota","MN",3277171,1717077,1484065,0.5239509930974,0.452849424091694,0.0711015690057064,"Biden",6854,8432
"Michigan","MI",5539302,2804040,2649852,0.506208182908244,0.478372906911376,0.0278352759968675,"Biden",16845,20235
"Nevada","NV",1405376,703486,669890,0.50056781957284,0.476662473245594,0.0239053463272462,"Biden",5081,7993
"Pennsylvania","PA",6915283,3458229,3377674,0.500084956754481,0.488436120401725,0.0116488363527567,"Biden",23483,25800
"Wisconsin","WI",3298041,1630866,1610184,0.494495368614277,0.488224373196088,0.00627099541818915,"Biden",7276,8250
"Arizona","AZ",3387326,1672143,1661686,0.493646906143666,0.490559810304647,0.00308709583901873,"Biden",12905,15846
"Georgia","GA",4999960,2473633,2461854,0.494730557844463,0.492374738997912,0.00235581884655073,"Biden",15546,17981
"North Carolina","NC",5524802,2684292,2758773,0.485862117773632,0.499343324882955,-0.0134812071093227,"Trump",14919,21390
"Florida","FL",11067456,5297045,5668731,0.478614507254422,0.51219819622504,-0.033583688970618,"Trump",35227,52524
"Texas","TX",11315056,5259126,5890347,0.464790099138705,0.520576036035526,-0.0557859368968214,"Trump",43355,54288
"Ohio","OH",5922202,2679165,3154834,0.45239338340705,0.532713001008746,-0.0803196176016961,"Trump",21758,24485
"Iowa","IA",1700130,759061,897672,0.446472328586637,0.528001976319458,-0.0815296477328204,"Trump",4610,5539
"Alaska","AK",359530,153778,189951,0.427719522710205,0.528331432703808,-0.100611909993603,"Trump",430,334
"South Carolina","SC",2514096,1091541,1385103,0.434168384978139,0.550934809171965,-0.116766424193826,"Trump",8808,10331
"Kansas","KS",1372303,570323,771406,0.415595535388322,0.562125128342647,-0.146529592954326,"Trump",4353,5202
"Missouri","MO",3025962,1253014,1718736,0.414087817361884,0.567996557788895,-0.153908740427011,"Trump",9896,12583
"Indiana","IN",3033118,1242416,1729519,0.409616770597121,0.570211577657051,-0.16059480705993,"Trump",11789,15644
"Montana","MT",603674,244786,343602,0.405493693616091,0.569184692400203,-0.163690998784112,"Trump",1354,1710
"Mississippi","MS",1313759,539398,756764,0.410576064559786,0.576029545753825,-0.165453481194039,"Trump",6447,8389
"Louisiana","LA",2148062,856034,1255776,0.398514568015262,0.584608824140085,-0.186094256124823,"Trump",7501,8107
"Nebraska","NE",956383,374583,556846,0.39166630941788,0.582241633320542,-0.190575323902662,"Trump",2325,3410
"Utah","UT",1488289,560282,865140,0.376460485833061,0.581298390299196,-0.204837904466135,"Trump",2311,3495
"Tennessee","TN",3053851,1143711,1852475,0.374514342710237,0.606602941662838,-0.232088598952601,"Trump",13342,18452
"Alabama","AL",2323282,849624,1441170,0.365699902121223,0.620316431668648,-0.254616529547425,"Trump",9102,9776
"Kentucky","KY",2136768,772474,1326646,0.36151514811154,0.620865718692904,-0.259350570581364,"Trump",9080,13074
"South Dakota","SD",422609,150471,261043,0.356052521361353,0.617693896722502,-0.26164137536115,"Trump",1212,1797
"Arkansas","AR",1219069,423932,760647,0.34775061953015,0.623957298561443,-0.276206679031294,"Trump",5204,7459
"Idaho","ID",868014,287021,554119,0.33066402154804,0.638375648319036,-0.307711626770997,"Trump",2217,2488
"Oklahoma","OK",1560699,503890,1020280,0.322861743359866,0.65373271848063,-0.330870975120763,"Trump",8005,10578
"North Dakota","ND",361819,114902,235595,0.317567623590801,0.651140487370757,-0.333572863779956,"Trump",1026,1533
"West Virginia","WV",794652,235984,545382,0.296965212445196,0.686315519246161,-0.389350306800964,"Trump",3621,6121
"Wyoming","WY",278503,73491,193559,0.263878665579904,0.694997899484027,-0.431119233904123,"Trump",573,485
