"member_id","name","state","party","congress","dwnom1","dwnom2"
"MS11694659","SHELBY, Richard C.","Alabama","Republican Party",116,0.446,0.57
"MS11641705","JONES, Gordon Douglas (Doug)","Alabama","Democratic Party",116,-0.088,0.187
"MS11742102","TUBERVILLE, Thomas Hawley (Tommy)","Alabama","Republican Party",117,0.936,-0.352
"MS11794659","SHELBY, Richard C.","Alabama","Republican Party",117,0.446,0.57
"MS11842102","TUBERVILLE, Thomas Hawley (Tommy)","Alabama","Republican Party",118,0.936,-0.352
"MS11842300","BRITT, Katie Elizabeth","Alabama","Republican Party",118,0.586,0.587
"MS11641500","SULLIVAN, Daniel Scott","Alaska","Republican Party",116,0.476,0.156
"MS11640300","MURKOWSKI, Lisa","Alaska","Republican Party",116,0.203,-0.304
"MS11741500","SULLIVAN, Daniel Scott","Alaska","Republican Party",117,0.476,0.156
"MS11740300","MURKOWSKI, Lisa","Alaska","Republican Party",117,0.203,-0.304
"MS11841500","SULLIVAN, Daniel Scott","Alaska","Republican Party",118,0.476,0.156
"MS11840300","MURKOWSKI, Lisa","Alaska","Republican Party",118,0.203,-0.304
"MS11621501","MCSALLY, Martha","Arizona","Republican Party",116,0.345,0.027
"MS11621300","SINEMA, Kyrsten","Arizona","Democratic Party",116,-0.105,0.076
"MS11641905","KELLY, Mark Edward","Arizona","Democratic Party",116,-0.264,0.29
"MS11721300","SINEMA, Kyrsten","Arizona","Democratic Party",117,-0.105,0.076
"MS11741905","KELLY, Mark Edward","Arizona","Democratic Party",117,-0.264,0.29
"MS11891300","SINEMA, Kyrsten","Arizona","Independent",118,-0.186,0.387
"MS11841905","KELLY, Mark Edward","Arizona","Democratic Party",118,-0.264,0.29
"MS11621301","COTTON, Thomas Bryant (Tom)","Arkansas","Republican Party",116,0.578,0.199
"MS11620101","BOOZMAN, John","Arkansas","Republican Party",116,0.426,0.34
"MS11721301","COTTON, Thomas Bryant (Tom)","Arkansas","Republican Party",117,0.578,0.199
"MS11720101","BOOZMAN, John","Arkansas","Republican Party",117,0.426,0.34
"MS11821301","COTTON, Thomas Bryant (Tom)","Arkansas","Republican Party",118,0.578,0.199
"MS11820101","BOOZMAN, John","Arkansas","Republican Party",118,0.426,0.34
"MS11649300","FEINSTEIN, Dianne","California","Democratic Party",116,-0.268,-0.184
"MS11641701","HARRIS, Kamala Devi","California","Democratic Party",116,-0.709,-0.105
"MS11749300","FEINSTEIN, Dianne","California","Democratic Party",117,-0.268,-0.184
"MS11742104","PADILLA, Alejandro (Alex)","California","Democratic Party",117,-0.438,-0.249
"MS11741701","HARRIS, Kamala Devi","California","Democratic Party",117,-0.709,-0.105
"MS11849300","FEINSTEIN, Dianne","California","Democratic Party",118,-0.268,-0.184
"MS11820104","SCHIFF, Adam","California","Democratic Party",118,-0.352,-0.119
"MS11842104","PADILLA, Alejandro (Alex)","California","Democratic Party",118,-0.438,-0.249
"MS11842305","BUTLER, Laphonza Romanique","California","Democratic Party",118,-0.447,-0.073
"MS11621112","GARDNER, Cory","Colorado","Republican Party",116,0.444,-0.029
"MS11640910","BENNET, Michael F.","Colorado","Democratic Party",116,-0.242,-0.191
"MS11740910","BENNET, Michael F.","Colorado","Democratic Party",117,-0.242,-0.191
"MS11742101","HICKENLOOPER, John Wright","Colorado","Democratic Party",117,-0.29,-0.016
"MS11840910","BENNET, Michael F.","Colorado","Democratic Party",118,-0.242,-0.191
"MS11842101","HICKENLOOPER, John Wright","Colorado","Democratic Party",118,-0.29,-0.016
"MS11620707","MURPHY, Christopher","Connecticut","Democratic Party",116,-0.287,-0.258
"MS11641101","BLUMENTHAL, Richard","Connecticut","Democratic Party",116,-0.434,-0.152
"MS11720707","MURPHY, Christopher","Connecticut","Democratic Party",117,-0.287,-0.258
"MS11741101","BLUMENTHAL, Richard","Connecticut","Democratic Party",117,-0.434,-0.152
"MS11820707","MURPHY, Christopher","Connecticut","Democratic Party",118,-0.287,-0.258
"MS11841101","BLUMENTHAL, Richard","Connecticut","Democratic Party",118,-0.434,-0.152
"MS11615015","CARPER, Thomas Richard","Delaware","Democratic Party",116,-0.179,-0.225
"MS11640916","COONS, Christopher A.","Delaware","Democratic Party",116,-0.238,-0.215
"MS11715015","CARPER, Thomas Richard","Delaware","Democratic Party",117,-0.179,-0.225
"MS11740916","COONS, Christopher A.","Delaware","Democratic Party",117,-0.238,-0.215
"MS11815015","CARPER, Thomas Richard","Delaware","Democratic Party",118,-0.179,-0.225
"MS11840916","COONS, Christopher A.","Delaware","Democratic Party",118,-0.238,-0.215
"MS11641903","SCOTT, Richard Lynn (Rick)","Florida","Republican Party",116,0.722,-0.037
"MS11641102","RUBIO, Marco","Florida","Republican Party",116,0.616,-0.184
"MS11741903","SCOTT, Richard Lynn (Rick)","Florida","Republican Party",117,0.722,-0.037
"MS11741102","RUBIO, Marco","Florida","Republican Party",117,0.616,-0.184
"MS11841903","SCOTT, Richard Lynn (Rick)","Florida","Republican Party",118,0.722,-0.037
"MS11841102","RUBIO, Marco","Florida","Republican Party",118,0.616,-0.184
"MS11641501","PERDUE, David Alfred, Jr.","Georgia","Republican Party",116,0.562,-0.075
"MS11641904","LOEFFLER, Kelly","Georgia","Republican Party",116,0.555,-0.203
"MS11629909","ISAKSON, Johnny","Georgia","Republican Party",116,0.402,-0.011
"MS11741904","LOEFFLER, Kelly","Georgia","Republican Party",117,0.555,-0.203
